Unnamed: 0,task_types,graph_url,item_ids,graph_types,question,graph_types_ctl,task_types_ctl,test_name,open_answer,prop_correct,controlled
21,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1region_facethappy_reorderlarge_to_small_colorgrey20.png,HOLF_22,barchart,"Within people who report being very happy, how much higher are education levels between the region with the highest education level compared to the region with the lowest education level? ",Bar chart,determine_range,HOLF,open-answer,0.7,1
22,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1carrier_facetorigin_reorderlarge_to_small_colorgrey20.png,HOLF_23,barchart,"Within flights departing from JFK, how much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?",Bar chart,determine_range,HOLF,open-answer,0.5,1
23,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1decade_facetnone_reorderalph_colorgrey20.png,HOLF_24,barchart,"On average, what was the injury severity level of drivers in the 1990s?",Bar chart,retrieve_value,HOLF,open-answer,0.9166666666666666,1
24,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_25,barchart,"On average, how many miles per hour faster are storms categorized as hurricanes compared to those categorized as tropical depressions?",Bar chart,make_comparisons,HOLF,open-answer,0.5,1
25,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1region_facethappy_reorderalph_colorgrey20.png,HOLF_26,barchart,"Within people who report being very happy, how much higher are education levels between the region with the highest education level compared to the region with the lowest education level? ",Bar chart,determine_range,HOLF,open-answer,0.5,1
26,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetnone_reorderalph_colorgrey20.png,HOLF_27,barchart,"On average, how much higher are ratings of Drama movies compared to the Comedy movies? ",Bar chart,make_comparisons,HOLF,open-answer,0.08333333333333333,1
27,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_28,barchart,"On average, what is the rating of Action movies?",Bar chart,retrieve_value,HOLF,open-answer,1.0,1
28,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_29,barchart,"Within of injuries involving backseat passengers, how much higher is the injury severity level in the decade with the higher severity compared to the decade with the lower severity? ",Bar chart,determine_range,HOLF,open-answer,0.09090909090909091,1
29,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_30,barchart,How much higher are ratings of movies from the decade with the highest ratings compared to the decade with the lowest ratings?,Bar chart,determine_range,HOLF,open-answer,0.0,1
30,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1class_type_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_31,barchart,"On average, how much higher are reading scores by 3rd graders in regular-sized classrooms compared to kindergarteners in regular-sized classrooms?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
31,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_32,barchart,"On average, what was the injury severity level of drivers in the 1990s?",Bar chart,retrieve_value,HOLF,open-answer,0.18181818181818182,1
32,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_33,barchart,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,Bar chart,determine_range,HOLF,open-answer,0.36363636363636365,1
33,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1class_type_facetgrade_reorderlarge_to_small_colorgrey20.png,HOLF_34,barchart,"On average, what is the reading score of 3rd graders who are in regular sized classrooms? ",Bar chart,retrieve_value,HOLF,open-answer,0.9090909090909091,1
34,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetnone_reorderalph_colorgrey20.png,HOLF_35,barchart,"On average, how many orders of large pizzas are made?",Bar chart,retrieve_value,HOLF,open-answer,0.2727272727272727,1
35,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1origin_facetcarrier_reorderalph_colorgrey20.png,HOLF_36,barchart,"On average, what is the distance traveled by flights departing from JFK?",Bar chart,retrieve_value,HOLF,open-answer,0.2727272727272727,1
36,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderalph_colorgrey20.png,HOLF_37,barchart,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,Bar chart,determine_range,HOLF,open-answer,0.0,1
37,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1state_facetsex_reorderalph_colorgrey20.png,HOLF_38,barchart,"On average, how much longer does it take women to complete the race relative to men? ",Bar chart,make_comparisons,HOLF,open-answer,0.5454545454545454,1
38,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1happy_facetnone_reorderalph_colorgrey20.png,HOLF_39,barchart,"On average, what is the education level of people living on the West Coast who report being very happy?",Bar chart,retrieve_value,HOLF,open-answer,1.0,1
39,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1state_facetnone_reorderalph_colorgrey20.png,HOLF_40,barchart,"On average, how much longer does it take women from VA to complete the race compared to women from MD? ",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
40,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_41,barchart,"On average, how many miles per hour are storms categorized as tropical storms?",Bar chart,retrieve_value,HOLF,open-answer,0.5454545454545454,1
41,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_42,barchart,"On average, how much higher are the injury severity levels of drivers compared to backseat passengers in the 1990s?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
42,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1region_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_43,barchart,"On average, how much higher is the education level of people living in the South who report being unhappy compared to those who report being very happy? ",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
43,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1class_type_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_44,barchart,"Within small classrooms, how much higher are reading scores between the grade with the highest score compared to the grade with the lowest score?",Bar chart,determine_range,HOLF,open-answer,0.0,1
44,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1decade_facetgenre_reorderalph_colorgrey20.png,HOLF_45,barchart,"On average, what is the rating of 1990s movies within the Action genre?",Bar chart,retrieve_value,HOLF,open-answer,0.8181818181818182,1
45,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1status_facetname_reorderalph_colorgrey20.png,HOLF_46,barchart,"Within storms categorized as hurricanes, how many more miles per hour was the fastest storm compared to the slowest storm? ",Bar chart,determine_range,HOLF,open-answer,0.0,1
46,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1region_facethappy_reorderlarge_to_small_colorgrey20.png,HOLF_47,barchart,How much higher are education levels between the region with the highest education level compared to the region with the lowest education level?,Bar chart,determine_range,HOLF,open-answer,0.0,1
47,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1decade_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_48,barchart,"On average, how much higher are ratings of Action movies from the 2000s compared to the 1990s?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
48,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetdecade_reorderalph_colorgrey20.png,HOLF_49,barchart,"On average, how much higher are ratings of Action movies from the 2000s compared to the 1990s?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
49,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1sex_facetnone_reorderalph_colorgrey20.png,HOLF_50,barchart,"On average, how much longer does it take women to complete the race relative to men? ",Bar chart,make_comparisons,HOLF,open-answer,0.45454545454545453,1
50,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetdecade_reorderalph_colorgrey20.png,HOLF_51,barchart,How much higher is the injury severity level of accidents in the decade with the higher severity compared to the lower severity?,Bar chart,determine_range,HOLF,open-answer,0.0,1
51,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_52,barchart,"On average, how many miles per hour faster was Hurricane Alberto compared to Hurricane Claudette?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
52,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1sex_facetstate_reorderlarge_to_small_colorgrey20.png,HOLF_53,barchart,"On average, how long does it take women from DC to complete the race?",Bar chart,retrieve_value,HOLF,open-answer,0.9090909090909091,1
53,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetdecade_reorderalph_colorgrey20.png,HOLF_54,barchart,"On average, how much higher is the injury severity level of backseat passengers compared to drivers?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
54,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,HOLF_55,barchart,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",Bar chart,determine_range,HOLF,open-answer,0.18181818181818182,1
55,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1status_facetnone_reorderalph_colorgrey20.png,HOLF_56,barchart,How many miles per hour faster was the fastest storm compared to the slowest storm?,Bar chart,determine_range,HOLF,open-answer,0.0,1
56,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1happy_facetregion_reorderlarge_to_small_colorgrey20.png,HOLF_57,barchart,"On average, how much higher is the education level of people who report being very happy compared to people who report being unhappy? ",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
57,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetdecade_reorderlarge_to_small_colorgrey20.png,HOLF_58,barchart,"On average, what is the rating of 1990s movies within the Action genre?",Bar chart,retrieve_value,HOLF,open-answer,0.9090909090909091,1
58,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetdecade_reorderlarge_to_small_colorgrey20.png,HOLF_59,barchart,"On average, what is injury severity level of drivers?",Bar chart,retrieve_value,HOLF,open-answer,0.8181818181818182,1
59,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1origin_facetcarrier_reorderalph_colorgrey20.png,HOLF_60,barchart,"Within flights departing from JFK, how much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?",Bar chart,determine_range,HOLF,open-answer,0.2727272727272727,1
60,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetnone_reorderalph_colorgrey20.png,HOLF_61,barchart,"On average, how much higher are ratings of Action movies from the 2000s compared to the 1990s?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
61,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1happy_facetregion_reorderalph_colorgrey20.png,HOLF_62,barchart,"On average, what is the education level of people living on the West Coast who report being very happy?",Bar chart,retrieve_value,HOLF,open-answer,0.8181818181818182,1
62,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1size_facetname_reorderlarge_to_small_colorgrey20.png,HOLF_63,barchart,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",Bar chart,determine_range,HOLF,open-answer,0.5454545454545454,1
63,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1size_facetname_reorderalph_colorgrey20.png,HOLF_64,barchart,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",Bar chart,determine_range,HOLF,open-answer,0.3,1
64,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1size_facetnone_reorderalph_colorgrey20.png,HOLF_65,barchart,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",Bar chart,determine_range,HOLF,open-answer,0.09090909090909091,1
65,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1size_facetnone_reorderalph_colorgrey20.png,HOLF_66,barchart,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,Bar chart,determine_range,HOLF,open-answer,0.0,1
66,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1size_facetname_reorderalph_colorgrey20.png,HOLF_67,barchart,"On average, how many orders of large pizzas are made?",Bar chart,retrieve_value,HOLF,open-answer,0.9090909090909091,1
67,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_68,barchart,"On average, how many more orders are made of large pizzas compared to small pizzas?",Bar chart,make_comparisons,HOLF,open-answer,0.1111111111111111,1
68,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1size_facetname_reorderalph_colorgrey20.png,HOLF_69,barchart,"On average, how many orders of large pepperoni pizzas are made?",Bar chart,retrieve_value,HOLF,open-answer,0.9,1
69,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1decade_facetgenre_reorderlarge_to_small_colorgrey20.png,HOLF_70,barchart,"On average, what is the rating of 1990s movies within the Action genre?",Bar chart,retrieve_value,HOLF,open-answer,0.8888888888888888,1
70,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderalph_colorgrey20.png,HOLF_71,barchart,"On average, how many more orders are made of large pizzas compared to small pizzas?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
71,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1region_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_72,barchart,"On average, how much higher is the education level of people who report being very happy compared to people who report being unhappy? ",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
72,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderalph_colorgrey20.png,HOLF_73,barchart,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",Bar chart,determine_range,HOLF,open-answer,0.18181818181818182,1
73,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_74,barchart,"On average, how many orders of large pizzas are made?",Bar chart,retrieve_value,HOLF,open-answer,0.8888888888888888,1
74,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_75,barchart,"On average, how many orders of large pepperoni pizzas are made?",Bar chart,retrieve_value,HOLF,open-answer,0.5454545454545454,1
75,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1decade_facetnone_reorderalph_colorgrey20.png,HOLF_76,barchart,"On average, what is the rating of 1990s movies within the Action genre?",Bar chart,retrieve_value,HOLF,open-answer,0.0,1
76,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_77,barchart,"On average, how many orders of large pizzas are made?",Bar chart,retrieve_value,HOLF,open-answer,1.0,1
77,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetdecade_reorderlarge_to_small_colorgrey20.png,HOLF_78,barchart,"On average, what is the rating of Action movies?",Bar chart,retrieve_value,HOLF,open-answer,0.9090909090909091,1
78,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetdecade_reorderlarge_to_small_colorgrey20.png,HOLF_79,barchart,"On average, how much higher are ratings of Drama movies compared to the Comedy movies? ",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
79,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetdecade_reorderlarge_to_small_colorgrey20.png,HOLF_80,barchart,"On average, how much higher are ratings of Action movies from the 2000s compared to the 1990s?",Bar chart,make_comparisons,HOLF,open-answer,0.1111111111111111,1
80,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1decade_facetgenre_reorderalph_colorgrey20.png,HOLF_81,barchart,"Within Drama movies, how much higher are ratings from the decade with the highest ratings compared to the decade with the lowest ratings? ",Bar chart,determine_range,HOLF,open-answer,0.3,1
81,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetdecade_reorderalph_colorgrey20.png,HOLF_82,barchart,"Within Drama movies, how much higher are ratings from the decade with the highest ratings compared to the decade with the lowest ratings? ",Bar chart,determine_range,HOLF,open-answer,0.6363636363636364,1
82,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetdecade_reorderalph_colorgrey20.png,HOLF_83,barchart,"On average, what is the rating of 1990s movies within the Action genre?",Bar chart,retrieve_value,HOLF,open-answer,1.0,1
83,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1decade_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_84,barchart,How much higher are ratings of movies from the decade with the highest ratings compared to the decade with the lowest ratings?,Bar chart,determine_range,HOLF,open-answer,0.1111111111111111,1
84,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_85,barchart,"On average, how much higher are ratings of Action movies from the 2000s compared to the 1990s?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
85,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1decade_facetnone_reorderalph_colorgrey20.png,HOLF_86,barchart,How much higher is the injury severity level of accidents in the decade with the higher severity compared to the lower severity?,Bar chart,determine_range,HOLF,open-answer,0.2857142857142857,1
86,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1sex_facetnone_reorderalph_colorgrey20.png,HOLF_87,barchart,How much longer does it take runners from the state with the longest times to complete the race compared to runners from the state with the fastest times?,Bar chart,determine_range,HOLF,open-answer,0.0,1
87,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1grade_facetclass_type_reorderalph_colorgrey20.png,HOLF_88,barchart,"On average, how much higher are reading scores of students in small-sized classrooms compared to regular-sized classrooms? ",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
88,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1grade_facetnone_reorderalph_colorgrey20.png,HOLF_89,barchart,How much higher are reading scores between the grade with the highest scores compared to the grade with the lowest score?,Bar chart,determine_range,HOLF,open-answer,0.625,1
89,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1grade_facetnone_reorderalph_colorgrey20.png,HOLF_90,barchart,"On average, how much higher are reading scores of students in small-sized classrooms compared to regular-sized classrooms? ",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
90,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1grade_facetnone_reorderalph_colorgrey20.png,HOLF_91,barchart,"On average, what is the reading score of students who are in regular-sized classrooms? ",Bar chart,retrieve_value,HOLF,open-answer,0.18181818181818182,1
91,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1grade_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_92,barchart,"On average, what is the reading score of students who are in regular-sized classrooms? ",Bar chart,retrieve_value,HOLF,open-answer,0.2,1
