Unnamed: 0,task_types,graph_url,item_ids,graph_types,answer_1,answer_2,answer_3,answer_4,question,graph_types_ctl,task_types_ctl,test_name,open_answer,prop_correct,controlled
19,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/radial.png,WAN_20,radial,Winter,Spring,Summer,Fall,Which season has the most rain?,radial,comprehensive,WAN,multiple-choice,0.9254901960784314,1
20,intermediate,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/radial.png,WAN_21,radial,Winter,Spring,Summer,Fall,In which season does each month have less rain than the month before?,radial,intermediate,WAN,multiple-choice,0.5118110236220472,1
21,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/radial.png,WAN_22,radial,More in the summer,More in the spring,,,"Which season has more rain, the summer or the spring?",radial,comprehensive,WAN,multiple-choice,0.9215686274509803,1
22,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/radial.png,WAN_23,radial,4,5,6,7,How many months have more rain than the average month?,radial,comprehensive,WAN,multiple-choice,0.7748091603053435,1
23,intermediate,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/radial.png,WAN_24,radial,True,False,,,"In San Francisco, as the weather gets warmer, there is generally more rain.",radial,intermediate,WAN,multiple-choice,0.832,1
24,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/table.png,WAN_25,table,30 mm,40 mm,50 mm ,60 mm,How much does it rain in March?,table,elementary,WAN,multiple-choice,0.8967551622418879,1
25,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/table.png,WAN_26,table,March,April,October,November,Which month has 25 mm of rain?,table,elementary,WAN,multiple-choice,0.8849206349206349,1
26,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/table.png,WAN_27,table,5,6,7,8,How many months have less than 40mm of rain?,table,elementary,WAN,multiple-choice,0.47470817120622566,1
27,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/table.png,WAN_28,table,Winter,Spring,Summer,Fall,Which season has the most rain?,table,comprehensive,WAN,multiple-choice,0.9254901960784314,1
28,intermediate,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/table.png,WAN_29,table,Winter,Spring,Summer,Fall,In which season does each month have less rain than the month before?,table,intermediate,WAN,multiple-choice,0.5118110236220472,1
29,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/table.png,WAN_30,table,More in the summer,More in the spring,,,"Which season has more rain, the summer or the spring?",table,comprehensive,WAN,multiple-choice,0.9215686274509803,1
30,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/table.png,WAN_31,table,4,5,6,7,How many months have more rain than the average month?,table,comprehensive,WAN,multiple-choice,0.7748091603053435,1
31,intermediate,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/table.png,WAN_32,table,True,False,,,"In San Francisco, as the weather gets warmer, there is generally more rain.",table,intermediate,WAN,multiple-choice,0.832,1
